Japanese,English
いきます,go
きます,come
かえります,Return (home)
がっこう,school
スーパー,Super market
えき,station
ひこうき,airplane
ふね,ship
でんしゃ,electric train
ちかてつ,"subway, underground"
しんかんせん,"the Shinkansen, bullet train"
バス,bus
タクシー,taxi
じてんしゃ,bicycle
あるいて,on foot
ひと,"person, people"
ともだち,friend
かれ,"he, boyfriend, lover"
かのじょ,"she, girlfriend, lover"
かぞく,Family
ひとりで,"alone, by oneself"
せんしゅう,Last week
こんしゅう,this week
らいしゅう,next week
せんげつ,last month
こんげつ,this month
らいげつ,next month
きょねん,last year
ことし,this year
らいねん,next year
いつ,when
たんじょうび,birthday
ふつう,local
きゅうこう,Rapid
とっきゅう,express
つぎの,Next
どういたしまして,"You are welcome, don’t mention it"
ばんせん,"platform, th platform"
